tweet_id,clean_text
1875904106541559808,surat edaran se ditjen pendis kemenag nomor 10 tahun 2024 mengatur panduan makan bergizi gratis mbg di lingkungan pesantren
1908514097764897024,program makan bergizi gratis untuk aneuk aceh penuhigiziindonesia indonesiaemas astacita indonesiamaju gizibaik makananbergizi
1879292908261794304,sdh pertengahan januari 2025 sampai skrg blm ada list yg pasti disekolah2 dan dimasyarakat mana saja yg dapat makan mbg setiap hari pd tahun ini yg ada skrg baru berupa uji coba yg gak pasti yg sifatnya acak
1895133428124918272,agen mbg
1978962010009223168,program mbg bukan bisnis ini gerakan sosial yang peduli sama kesehatan anak anak kita percaya semua anak indonesia punya hak buat makan sehat tanpa mikir biaya
1899268420857958656,makanan bergizi adalah hak semua orang ayo dukung program makan bergizi gratis agar setiap anak mendapatkan asupan yang mereka butuhkan dukungmakanbergizi sehatuntuksemua
1943653765791256832,seribu manfaat dari program makan bergizi gratis manfaatmakanbergizigratis makanbergizigratis programmakanbergizigratis dukungprogrammakanbergizigratis
1970963779145097216,mbg makanan beracun gratis
1964981430028845312,stop mbg pak presiden dananya dialihkan untuk gaji guru perbaikan gedung sekolah
1895318106790338560,puasa mbg libur efisiensi
